Hourly Dry Bulb (deg C),Hourly Wet Bulb (deg C),Hourly Direct Normal Irradiance (W/m2),Hourly Diffuse Horizontal Irradiance (W/m2),Hourly Global Horizontal Irradiance (W/m2),Hourly Albedo,Hourly Wind Speed (m/s)
3.9,3.838831361,0,0,0,0.16,2.1
3.3,4.044208317,0,0,0,0.16,2.1
2.8,3.135793322,0,0,0,0.16,2.1
3.9,2.772959817,0,0,0,0.16,0
2.2,2.75508385,0,0,0,0.16,2.6
3.3,2.487764844,0,0,0,0.16,0
3.9,2.774517144,114,3,6,0.16,0
6.1,2.98983435,518,46,149,0.16,3.1
7.2,3.33436565,627,84,302,0.16,4.1
7.8,4.128099894,684,115,430,0.16,3.1
7.8,4.796721317,559,178,474,0.16,2.6
8.9,5.421214044,766,121,540,0.16,0
9.4,5.66102835,717,130,499,0.16,1.5
11.1,6.013752272,549,154,392,0.16,1.5
10,5.789835172,511,138,297,0.16,7.2
9.4,5.956973967,105,107,123,0.16,7.2
8.3,5.894963717,0,0,0,0.16,5.7
8.3,5.982001733,0,0,0,0.16,5.2
7.8,6.116747128,0,0,0,0.16,3.6
